llm,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,recall_at_30,recall_at_40,recall_at_50,mrr,selection_accuracy,e2e_accuracy,retrieval_error_rate,selection_error_rate,n_params,correct,hits_k1,hits_k3,hits_k5,hits_k10,hits_k20,hits_k30,hits_k40,hits_k50,rr_sum,retrieval_errors,selection_errors,embedding,strategy,candidates
mistral,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0208333333333333,1.0,0.0833333333333333,0.9166666666666666,0.0,12,1,0,0,1,1,1,1,1,1,0.25,11,0,nomic,full,k10
mixtral_8x7,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0625,0.6666666666666666,0.0714285714285714,0.8928571428571429,0.0357142857142857,28,2,1,2,3,3,3,3,3,3,1.75,25,1,nomic,full,k10
mixtral_8x22,0.0,0.064516129032258,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0349462365591397,1.0,0.0967741935483871,0.9032258064516128,0.0,31,3,0,2,3,3,3,3,3,3,1.0833333333333333,28,0,nomic,full,k10
llama,0.0,0.032258064516129,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.064516129032258,0.0241935483870967,1.0,0.064516129032258,0.935483870967742,0.0,31,2,0,1,2,2,2,2,2,2,0.75,29,0,nomic,full,k10
phi4,0.0,0.08,0.12,0.12,0.12,0.12,0.12,0.12,0.0433333333333333,1.0,0.12,0.88,0.0,25,3,0,2,3,3,3,3,3,3,1.0833333333333333,22,0,nomic,full,k10
mistral,0.0833333333333333,0.1666666666666666,0.4166666666666667,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.1909090909090909,0.1428571428571428,0.0833333333333333,0.4166666666666667,0.5,12,1,1,2,5,6,7,7,7,7,2.290909090909091,5,6,sapbert,term,k20
mixtral_8x7,0.3571428571428571,0.4285714285714285,0.5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.408078231292517,0.3125,0.1785714285714285,0.4285714285714285,0.3571428571428571,28,5,10,12,14,16,16,16,16,16,11.426190476190476,12,10,sapbert,term,k20
mixtral_8x22,0.3870967741935484,0.4838709677419355,0.5483870967741935,0.5806451612903226,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.4577626358461272,0.5238095238095238,0.3548387096774194,0.3225806451612903,0.3225806451612903,31,11,12,15,17,18,21,21,21,21,14.190641711229944,10,10,sapbert,term,k20
llama,0.4516129032258064,0.5806451612903226,0.6451612903225806,0.6774193548387096,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.5374103758354233,0.5,0.4193548387096774,0.1612903225806451,0.4193548387096774,31,13,14,18,20,21,26,26,26,26,16.65972165089812,5,13,sapbert,term,k20
phi4,0.36,0.44,0.52,0.64,0.68,0.68,0.68,0.68,0.4251284271284271,0.2941176470588235,0.2,0.32,0.4,25,5,9,11,13,16,17,17,17,17,10.628210678210678,8,10,sapbert,term,k20
mistral,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2889880952380952,0.375,0.25,0.3333333333333333,0.4166666666666667,12,3,2,4,4,7,7,8,8,8,3.4678571428571425,4,5,sapbert,full,k50
mixtral_8x7,0.2142857142857142,0.4642857142857143,0.5357142857142857,0.6071428571428571,0.6428571428571429,0.6785714285714286,0.75,0.75,0.352765753494895,0.238095238095238,0.1785714285714285,0.25,0.5714285714285714,28,5,6,13,15,17,18,19,21,21,9.87744109785706,7,16,sapbert,full,k50
mixtral_8x22,0.2258064516129032,0.4516129032258064,0.5483870967741935,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.8387096774193549,0.8387096774193549,0.3913829464557872,0.3076923076923077,0.2580645161290322,0.1612903225806451,0.5806451612903226,31,8,7,14,17,23,24,25,26,26,12.132871340129403,5,18,sapbert,full,k50
llama,0.3548387096774194,0.6129032258064516,0.7419354838709677,0.935483870967742,0.935483870967742,0.935483870967742,0.935483870967742,0.967741935483871,0.5320355481474218,0.5,0.4838709677419355,0.032258064516129,0.4838709677419355,31,15,11,19,23,29,29,29,29,30,16.493101992570075,1,15,sapbert,full,k50
phi4,0.2,0.48,0.56,0.68,0.68,0.76,0.84,0.88,0.3617264855218473,0.2272727272727272,0.2,0.12,0.6,25,5,5,12,14,17,17,19,21,22,9.043162138046185,3,15,sapbert,full,k50
mistral,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0277777777777777,1.0,0.0833333333333333,0.9166666666666666,0.0,12,1,0,1,1,1,1,1,1,1,0.3333333333333333,11,0,nomic,avg,k20
mixtral_8x7,0.0,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.1785714285714285,0.1785714285714285,0.1785714285714285,0.1785714285714285,0.0317651098901098,0.6,0.1071428571428571,0.8214285714285714,0.0714285714285714,28,3,0,1,2,3,5,5,5,5,0.8894230769230769,23,2,nomic,avg,k20
mixtral_8x22,0.0,0.032258064516129,0.064516129032258,0.1290322580645161,0.1612903225806451,0.1612903225806451,0.1612903225806451,0.1612903225806451,0.0302419354838709,0.6,0.0967741935483871,0.8387096774193549,0.064516129032258,31,3,0,1,2,4,5,5,5,5,0.9375,26,2,nomic,avg,k20
llama,0.0,0.032258064516129,0.032258064516129,0.064516129032258,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.0206265508684863,0.75,0.0967741935483871,0.8709677419354839,0.032258064516129,31,3,0,1,1,2,4,4,4,4,0.6394230769230769,27,1,nomic,avg,k20
phi4,0.0,0.04,0.04,0.12,0.2,0.2,0.2,0.2,0.030576923076923,0.6,0.12,0.8,0.08,25,3,0,1,1,3,5,5,5,5,0.7644230769230769,20,2,nomic,avg,k20
mistral,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0166666666666666,0.0,0.0,0.9166666666666666,0.0833333333333333,12,0,0,0,1,1,1,1,1,1,0.2,11,1,nomic,term,k10
mixtral_8x7,0.0,0.0,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.0249999999999999,1.0,0.1071428571428571,0.8928571428571429,0.0,28,3,0,0,3,3,3,3,3,3,0.7,25,0,nomic,term,k10
mixtral_8x22,0.032258064516129,0.032258064516129,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0467741935483871,1.0,0.0967741935483871,0.9032258064516128,0.0,31,3,1,1,3,3,3,3,3,3,1.45,28,0,nomic,term,k10
llama,0.032258064516129,0.032258064516129,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.1290322580645161,0.0548387096774193,1.0,0.1290322580645161,0.8709677419354839,0.0,31,4,1,1,4,4,4,4,4,4,1.7,27,0,nomic,term,k10
