llm,pid,gen_id,gen_tc_label,gen_tc_type,gt_id,gt_tc_label,gt_tc_type
mistral,P01,A6,daily for four weeks,REPEAT,A5,daily for four weeks,REPEAT
mistral,P02,A2,for ten days,DURATION,A2,for ten days,DURATION
mistral,P20,A4,every 8 hours for 7 days,REPEAT,A5,every 8 hours for 7 days,REPEAT
mistral,P20,A7,while takes amoxicillin 1 g every 8 hours for 7 days,OFFSET,,,
mistral,P20,A8,with strict glycemic control,OFFSET,A6,after four weeks,OFFSET
mixtral_8x7,P08,A3,once a week,REPEAT,A3,once daily,REPEAT
mixtral_8x7,P08,A4,once daily,REPEAT,A4,once a month,REPEAT
mixtral_8x7,P11,A6,every six months,REPEAT,A6,Every six months,REPEAT
mixtral_8x7,P14,A1,every day,REPEAT,A1,every day,REPEAT
mixtral_8x7,P14,A2,for 30 minutes,DURATION,A2,for 30 minutes,DURATION
mixtral_8x7,P20,A5,for 7 days,DURATION,A5,every 8 hours for 7 days,REPEAT
mixtral_8x7,P20,A7,after 4 weeks,OFFSET,,,
mixtral_8x22,P01,A2,One week later,OFFSET,A2,One week later,OFFSET
mixtral_8x22,P01,A4,for four weeks,DURATION,A5,daily for four weeks,REPEAT
mixtral_8x22,P03,A1,every morning,REPEAT,A1,every morning,REPEAT
mixtral_8x22,P03,A3,30-minute,DURATION,A3,30-minute,DURATION
mixtral_8x22,P04,A1,every morning,REPEAT,A1,Every morning,REPEAT
mixtral_8x22,P04,A2,every morning,REPEAT,A2,Every morning,REPEAT
mixtral_8x22,P06,A2,three times per day,REPEAT,A2,three times per day,REPEAT
mixtral_8x22,P08,A2,once a week,REPEAT,A2,once a week,REPEAT
mixtral_8x22,P08,A3,once daily,REPEAT,A3,once daily,REPEAT
mixtral_8x22,P08,A4,once a month,REPEAT,A4,once a month,REPEAT
mixtral_8x22,P08,A5,after that,OFFSET,A5,,
mixtral_8x22,P11,A1,twice a day,REPEAT,A1,Twice a day,REPEAT
mixtral_8x22,P11,A5,once daily,REPEAT,A5,once daily,REPEAT
mixtral_8x22,P11,A6,every six months,REPEAT,A6,Every six months,REPEAT
mixtral_8x22,P12,A2,followed by,OFFSET,A2,,
mixtral_8x22,P13,A2,monthly,REPEAT,A2,,
mixtral_8x22,P13,A3,monthly,REPEAT,A3,,
mixtral_8x22,P14,A1,every day,REPEAT,A1,every day,REPEAT
mixtral_8x22,P14,A2,for 30 minutes,DURATION,A2,for 30 minutes,DURATION
mixtral_8x22,P16,A2,three times per week,REPEAT,A2,three times per week,REPEAT
mixtral_8x22,P17,A1,twice daily,REPEAT,A1,twice daily,REPEAT
mixtral_8x22,P17,A2,every month,REPEAT,A2,every month,REPEAT
mixtral_8x22,P19,A4,for 30 minutes,DURATION,A4,For 30 minutes,DURATION
mixtral_8x22,P20,A4,while,DURATION,A4,,
mixtral_8x22,P20,A5,every 8 hours,REPEAT,A5,every 8 hours for 7 days,REPEAT
