llm,plan_id,gt_action_id,gt_action_label,gen_action_id,gen_action_label,sim
mistral,P01,A1,The patient undergoes surgery procedure,A1,The patient undergoes surgery procedure.,98.73417721518987
mistral,P01,A2,"One week later, a specialist follow-up visit is performed",A2,"One week later, a specialist follow-up visit is performed.",99.1304347826087
mistral,P01,A3,the patient completes a clinical questionnaire,A3,The patient completes a clinical questionnaire.,90.3225806451613
mistral,P01,A4,The patient receives education on generic home rehabilitation program,A4,The patient receives education on generic home rehabilitation program.,99.28057553956835
mistral,P01,A5,The patient then performs the prescribed exercises daily for four weeks,A5,The patient performs the rehabilitation exercises daily for four weeks.,85.91549295774648
mistral,P01,,,GEN_NO_MATCH,A6 - The patient performs the rehabilitation exercises.,
mistral,P01,GEN_NO_MATCH,[],,,
mistral,P02,A1,The patient completes a post-stroke follow up questionnaire,A1,The patient completes a post-stroke follow up questionnaire,100.0
mistral,P02,A2,vital signs are monitored for ten days,A2,vital signs are monitored for ten days,100.0
mistral,P02,A3,the practitioner is alerted with urgent priority if abnormal values are detected,A3,the practitioner is alerted with urgent priority if abnormal values are detected,100.0
mistral,P02,A4,the patient attends attends a cardiology specialist follow-up visit,A4,The patient attends a cardiology specialist follow-up visit,98.30508474576271
mistral,P02,A5,The patient receives post-stroke lifestyle education,A5,subsequently receives post-stroke lifestyle education,86.95652173913044
mistral,P02,,,GEN_NO_MATCH,,
mistral,P02,GEN_NO_MATCH,[],,,
mistral,P03,A1,The patient monitors blood glucose every morning,A1,The patient monitors blood glucose every morning,100.0
mistral,P03,A2,"If the blood glucose level exceeds the prescribed threshold, the practitioner is notified as soon as possible",A3,the practitioner is notified as soon as possible,100.0
mistral,P03,A3,"Otherwise, the patient performs a 30-minute walking session.",A4,"Otherwise, the patient performs a 30-minute walking session",99.15966386554622
mistral,P03,,,GEN_NO_MATCH,A2 - If the blood glucose level exceeds the prescribed threshold,
mistral,P03,GEN_NO_MATCH,[],,,
mistral,P04,A1,Every morning the patient applies the prescribed medication,A1,Every morning the patient applies the prescribed medication,100.0
mistral,P04,A2,Every morning the patient measures body temperature,A2,the patient measures body temperature,100.0
mistral,P04,A3,"If body temperature exceeds 38°C, a post-surgical infection screening questionnaire is administered",A4,a post-surgical infection screening questionnaire is administered,100.0
mistral,P04,A4,the practitioner is alerted as urgent,A5,the practitioner is alerted as urgent,100.0
mistral,P04,,,GEN_NO_MATCH,A3 - If body temperature exceeds 38°C,
mistral,P04,GEN_NO_MATCH,[],,,
mistral,P05,A1,The patient undergoes a urine laboratory examination every three months,A1,The patient undergoes a urine laboratory examination,100.0
mistral,P05,A2,the patient attends a nephrology specialist visit,A2,The patient attends a nephrology specialist visit,97.95918367346938
mistral,P05,A3,a low-sodium diet is recommended,A3,a low-sodium diet is recommended,100.0
mistral,P05,A4,fluid management education is provided,A4,fluid management education is provided,100.0
mistral,P05,,,GEN_NO_MATCH,,
mistral,P05,GEN_NO_MATCH,[],,,
mistral,P06,A1,The patient undergoes cardiac rehabilitation therapy,A1,The patient undergoes cardiac rehabilitation therapy.,99.04761904761905
mistral,P06,A2,the patient performs aerobic exercises three times per day,A2,The patient performs aerobic exercises three times per day,98.27586206896552
mistral,P06,A3,monitoring heart rate three times per day,A2,The patient performs aerobic exercises three times per day,64.64646464646464
mistral,P06,A4,The patient subsequently completes a general health questionnaire,A4,The patient completes a general health questionnaire.,88.13559322033899
mistral,P06,,,GEN_NO_MATCH,A3 - The patient monitors heart rate during aerobic exercises,
mistral,P06,GEN_NO_MATCH,[],,,
mistral,P07,A1,Following blood sample collection,A1,Following blood sample collection,100.0
mistral,P07,A2,"if laboratory results are normal, chemotherapy is administered",A3,chemotherapy is administered,100.0
mistral,P07,A3,vital signs are monitored,A4,vital signs are monitored,100.0
