llm;plan_id;gt_action_id;gt_action_label;gen_action_id;gen_action_label
llama;P01;A5;The patient then performs the prescribed exercises daily for four weeks;A5;the patient performs the rehabilitation exercises daily
llama;P01;A4;The patient receives education on generic home rehabilitation program;A4;receives education on generic home rehabilitation program
llama;P01;A3;the patient completes a clinical questionnaire;A3;the patient completes a clinical questionnaire
llama;P01;A2;One week later, a specialist follow-up visit is performed;A2;a specialist follow-up visit is performed
llama;P01;A1;The patient undergoes surgery procedure;A1;The patient undergoes surgery procedure.
llama;P01;;;GEN_NO_MATCH;
llama;P02;A5;The patient receives post-stroke lifestyle education;A5;subsequently receives post-stroke lifestyle education
llama;P02;A4;the patient attends attends a cardiology specialist follow-up visit;A4;the patient attends a cardiology specialist follow-up visit
llama;P02;A3;the practitioner is alerted with urgent priority if abnormal values are detected;A3;the practitioner is alerted with urgent priority if abnormal values are detected
llama;P02;A2;vital signs are monitored for ten days;A2;vital signs are monitored for ten days
llama;P02;A1;The patient completes a post-stroke follow up questionnaire;A1;The patient completes a post-stroke follow up questionnaire.
llama;P02;;;GEN_NO_MATCH;
llama;P03;A3;Otherwise, the patient performs a 30-minute walking session.;A3;performs a 30-minute walking session
llama;P03;A2;If the blood glucose level exceeds the prescribed threshold, the practitioner is notified as soon as possible;A2;the practitioner is notified as soon as possible
llama;P03;A1;The patient monitors blood glucose every morning;A1;monitors blood glucose every morning
llama;P03;;;GEN_NO_MATCH;
llama;P04;A4;the practitioner is alerted as urgent;A4;the practitioner is alerted as urgent
llama;P04;A3;If body temperature exceeds 38¡C, a post-surgical infection screening questionnaire is administered;A3;administered a post-surgical infection screening questionnaire
llama;P04;A2;Every morning the patient measures body temperature;A2;measures body temperature
llama;P04;A1;Every morning the patient applies the prescribed medication;A1;applies the prescribed medication
llama;P04;;;GEN_NO_MATCH;
llama;P05;A4;fluid management education is provided;A4;fluid management education is provided
llama;P05;A3;a low-sodium diet is recommended;A3;a low-sodium diet is recommended
llama;P05;A2;the patient attends a nephrology specialist visit;A2;attends a nephrology specialist visit
llama;P05;A1;The patient undergoes a urine laboratory examination every three months;A1;undergoes a urine laboratory examination
